2014 Data
Order ID;Order Date;Shipping Date;Ship Mode;Customer ID;Product ID;Quantity;Purchasing Price;Planned Sales Price;Discount
CA-2014-115812;9/6/2014;14/6/2014;Standard Class;BH-11710;FUR-FU-10001487;7;31.759;48.86;0.05
CA-2014-115812;9/6/2014;14/6/2014;Standard Class;BH-11710;OFF-AR-10002833;4;4.3680000000000003;7.28;0.09
CA-2014-115812;9/6/2014;14/6/2014;Standard Class;BH-11710;TEC-PH-10002275;6;635.00639999999999;907.15200000000004;0.15
CA-2014-115812;9/6/2014;14/6/2014;Standard Class;BH-11710;OFF-BI-10003910;3;12.9528;18.504000000000001;0.1
CA-2014-115812;9/6/2014;14/6/2014;Standard Class;BH-11710;OFF-AP-10002892;5;74.685000000000002;114.9;0.06
CA-2014-115812;9/6/2014;14/6/2014;Standard Class;BH-11710;FUR-TA-10001539;9;1023.7104;1706.1840000000002;0.15
CA-2014-115812;9/6/2014;14/6/2014;Standard Class;BH-11710;TEC-PH-10002033;4;501.28320000000002;911.42399999999998;0.05
CA-2014-105893;11/11/2014;18/11/2014;Standard Class;PK-19075;OFF-ST-10004186;6;399.52799999999996;665.88;0.1
CA-2014-167164;13/5/2014;15/5/2014;Second Class;AG-10270;OFF-ST-10000107;2;38.849999999999994;55.5;0.05
CA-2014-143336;27/8/2014;1/9/2014;Second Class;ZD-21925;OFF-AR-10003056;2;5.992;8.56;0.1
CA-2014-143336;27/8/2014;1/9/2014;Second Class;ZD-21925;TEC-PH-10001949;3;138.76200000000003;213.48000000000002;0.1
CA-2014-143336;27/8/2014;1/9/2014;Second Class;ZD-21925;OFF-BI-10002215;4;13.632;22.72;0.1
CA-2014-146703;20/10/2014;25/10/2014;Second Class;PO-18865;OFF-ST-10001713;4;127.176;211.96;0
CA-2014-106376;5/12/2014;10/12/2014;Standard Class;BS-11590;OFF-AR-10002671;8;779.11680000000001;1113.0240000000001;0
CA-2014-106376;5/12/2014;10/12/2014;Standard Class;BS-11590;TEC-PH-10002726;4;117.5776;167.96800000000002;0
US-2014-147606;26/11/2014;1/12/2014;Second Class;JE-15745;FUR-FU-10003194;5;13.51;19.3;0
CA-2014-139451;12/10/2014;16/10/2014;Standard Class;DN-13690;OFF-AR-10002053;5;8.1950000000000003;14.9;0
CA-2014-139451;12/10/2014;16/10/2014;Standard Class;DN-13690;OFF-ST-10002370;1;12.834;21.39;0
CA-2014-115259;25/8/2014;27/8/2014;Second Class;RC-19960;OFF-FA-10000621;14;20.048000000000002;40.096000000000004;0
CA-2014-115259;25/8/2014;27/8/2014;Second Class;RC-19960;OFF-EN-10002600;2;2.3600000000000003;4.7200000000000006;0
CA-2014-115259;25/8/2014;27/8/2014;Second Class;RC-19960;OFF-PA-10004965;3;15.584400000000002;23.976000000000003;0
CA-2014-115259;25/8/2014;27/8/2014;Second Class;RC-19960;OFF-EN-10002504;6;78.278399999999991;130.464;0
US-2014-152030;26/12/2014;28/12/2014;Second Class;AD-10180;FUR-CH-10004063;3;300.279;600.55799999999999;0
US-2014-134614;20/9/2014;25/9/2014;Standard Class;PF-19165;FUR-TA-10004534;6;401.50500000000005;617.70000000000005;0
CA-2014-110072;22/10/2014;28/10/2014;Standard Class;MG-17680;FUR-FU-10000521;4;56.332799999999999;93.888000000000005;0
CA-2014-104269;1/3/2014;6/3/2014;Second Class;DB-13060;FUR-CH-10004063;2;320.29759999999999;457.56800000000004;0.070000000000000007
CA-2014-139892;8/9/2014;12/9/2014;Standard Class;BM-11140;OFF-AR-10004441;3;4.968;9.9359999999999999;0.14000000000000001
CA-2014-139892;8/9/2014;12/9/2014;Standard Class;BM-11140;TEC-MA-10000822;8;5303.9687999999996;8159.9519999999993;0.15
CA-2014-139892;8/9/2014;12/9/2014;Standard Class;BM-11140;OFF-ST-10000991;3;165.55679999999998;275.928;0.1
CA-2014-139892;8/9/2014;12/9/2014;Standard Class;BM-11140;OFF-AR-10002656;6;22.444799999999997;32.064;0.1
CA-2014-139892;8/9/2014;12/9/2014;Standard Class;BM-11140;OFF-AP-10002518;5;115.68699999999998;177.97999999999996;0.06
CA-2014-139892;8/9/2014;12/9/2014;Standard Class;BM-11140;TEC-PH-10003931;3;86.385599999999997;143.976;0.070000000000000007
CA-2014-118962;5/8/2014;9/8/2014;Standard Class;CS-12130;OFF-PA-10000659;3;11.517000000000001;20.94;0.06
CA-2014-118962;5/8/2014;9/8/2014;Standard Class;CS-12130;OFF-PA-10001144;2;66.575999999999993;110.96;0.06
CA-2014-118962;5/8/2014;9/8/2014;Standard Class;CS-12130;FUR-CH-10003817;7;170.07200000000003;340.14400000000006;0.06
US-2014-100853;14/9/2014;19/9/2014;Standard Class;JB-15400;OFF-AP-10000891;2;26.223999999999997;52.447999999999993;0.08
US-2014-100853;14/9/2014;19/9/2014;Standard Class;JB-15400;OFF-LA-10003148;4;13.104000000000001;20.16;0.08
CA-2014-166191;5/12/2014;9/12/2014;Second Class;DK-13150;OFF-ST-10003455;2;14.889600000000002;24.816000000000003;0.13
CA-2014-166191;5/12/2014;9/12/2014;Second Class;DK-13150;TEC-AC-10004659;7;224.8092;408.74399999999997;0.15
CA-2014-158274;19/11/2014;24/11/2014;Second Class;RM-19675;TEC-PH-10003273;4;302.37599999999998;503.96;0.13
